tt0004972	movie	The Birth of a Nation	The Birth of a Nation	0	1915	\N	195	Drama,History,War
tt0006864	movie	Intolerance: Love's Struggle Throughout the Ages	Intolerance: Love's Struggle Throughout the Ages	0	1916	\N	163	Drama,History
tt0010323	movie	The Cabinet of Dr. Caligari	Das Cabinet des Dr. Caligari	0	1920	\N	76	Fantasy,Horror,Mystery
tt0012349	movie	The Kid	The Kid	0	1921	\N	68	Comedy,Drama,Family
tt0013257	movie	Häxan	Häxan	0	1922	\N	91	Documentary,Fantasy,Horror
tt0013442	movie	Nosferatu	Nosferatu, eine Symphonie des Grauens	0	1922	\N	94	Fantasy,Horror
tt0014429	movie	Safety Last!	Safety Last!	0	1923	\N	74	Action,Comedy,Thriller
tt0015064	movie	The Last Laugh	Der letzte Mann	0	1924	\N	77	Drama
tt0015324	movie	Sherlock Jr.	Sherlock Jr.	0	1924	\N	45	Action,Comedy,Romance
tt0015648	movie	Battleship Potemkin	Bronenosets Potemkin	0	1925	\N	75	Drama,History,Thriller
tt0015864	movie	The Gold Rush	The Gold Rush	0	1925	\N	95	Adventure,Comedy,Drama
tt0016220	movie	The Phantom of the Opera	The Phantom of the Opera	0	1925	\N	93	Horror
tt0016847	movie	Faust	Faust: Eine deutsche Volkssage	0	1926	\N	107	Drama,Fantasy,Horror
tt0017136	movie	Metropolis	Metropolis	0	1927	\N	153	Drama,Sci-Fi
tt0017925	movie	The General	The General	0	1926	\N	67	Action,Adventure,Comedy
tt0018455	movie	Sunrise	Sunrise: A Song of Two Humans	0	1927	\N	94	Drama,Romance
tt0018578	movie	Wings	Wings	0	1927	\N	144	Action,Drama,Romance
tt0018773	movie	The Circus	The Circus	0	1928	\N	72	Comedy,Romance
tt0019254	movie	The Passion of Joan of Arc	La passion de Jeanne d'Arc	0	1928	\N	110	Biography,Drama,History
tt0019421	movie	Steamboat Bill, Jr.	Steamboat Bill, Jr.	0	1928	\N	70	Action,Comedy,Drama
tt0019760	movie	Man with a Movie Camera	Chelovek s kino-apparatom	0	1929	\N	68	Documentary,Music
tt0020629	movie	All Quiet on the Western Front	All Quiet on the Western Front	0	1930	\N	136	Drama,War
tt0020640	movie	Animal Crackers	Animal Crackers	0	1930	\N	97	Comedy,Musical
tt0020697	movie	The Blue Angel	Der blaue Engel	0	1930	\N	104	Drama,Music
tt0021079	movie	Little Caesar	Little Caesar	0	1931	\N	79	Action,Crime,Drama
tt0021577	movie	L'Age d'Or	L'âge d'or	0	1930	\N	60	Comedy,Drama
tt0021749	movie	City Lights	City Lights	0	1931	\N	87	Comedy,Drama,Romance
tt0021814	movie	Dracula	Dracula	0	1931	\N	75	Fantasy,Horror
